category,sub-category,crimeaditionalinfo
Online Financial Fraud,EWallet Related Fraud,"The amount has been debitted from Zest money and  amazon pay gift cards has been generated fraudulently

Gift card code
Gift card PIN AQTKZ
GIFT CARD AMT


Gift Card Code
Gift Card PIN TVUTVJTYS
Gift Card AMT

Sir I am a student please help me"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGHUPI PHONE PE 
BANKBANDHAN BANK	
ACCOUNT NO
TOTAL AMOUNT
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTIONTotal number transation   time through phone pay 
 Rs
 Rs
 Rs
 Rs
 Rs"
Any Other Cyber Crime,Other,"SirMadam

I had left my CV on few websites like Monstercom and Indeed for jobs On th Dec  some person claiming to be Ankita    reached me and explained me about the job and how to register in this Before learning about this job I had seen many examples where people ask money to give job as deposit or advance fees Upon some reasearch then i learned that its not reliable when people ask money before the job So in this case inslightsglobalcom they were not asking for money but they told i will have to pay some money when i fail to deliver their work The woman was quite sly and phrased it like  for penalty a service charge will be deducted from the salary For Verification i got a call from this number  

I went through a lot articles and videos on youtube and then looked up for reviews for that company on google when i found about Consumer Complaints website and found so many people recently have fell for this scam Regarding the procedure for this job i had given them my AADHAR CARDsoft copy and they sent me a mail with Terms and Conditions and asked me to reply as  I am accepting the terms  Few people    with different names called me claiming to be from HR Department asking me to Reply their mail I have not replied to them and deterred their calls telling them that I have not read the terms and conditions and I will reply their mail later some time after reading Terms and Con"
Cyber Attack/ Dependent Crimes,Ransomware Attack,"My friend mentioned something like this happened to them a few months ago, but I thought it was a one-off. Then, suddenly, I got this weird notification asking me to update my password, but the message didn’t look like the usual ones I receive from the app. It looked a bit off. It’s hard to explain, but it felt like someone was inside my account, doing things while I wasn’t even online. The more I tried to fix it, the more problems came up. My bank account was unathorised, and then I got locked out of everything. This has really left me anxious and frustrated, I can’t sleep knowing my information is out there. I’ve even considered deleting all my accounts, but that’s not a solution. Even my phone isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,UPI Related Frauds,"They are Calling and asking to pay money via QR and u will get money in your account 

The image which I have attached is for just  but they have changed it with  and forcing me to pay this money as he has sent  but he sent only 

There mobile numbers  and 

Please get them asap as they have done fraud with many others I got to know about other victims by truecaller there victims shared comment on these numbers"
Online Financial Fraud,UPI Related Frauds,Paytm fraud 
Hacking  Damage to computercomputer system etc,Email Hacking,Dear Sir I want to tell you that my Facebook and Instagram id have been hacked by someoneI requested to you please take any action thankyou regards Saurabh verma I am hearing impaired please help me
Cyber Terrorism,Cyber Terrorism,Mene online application se loan liyha hai meri abhi financial condition nhi he bharne ki to wo log harrasment kar rahe he mere sab contact kar or raat ko msg krte he payment k liyhe harrasment krte he me pareshan ho gaya suicide krne ja raha tha itna pareshan ho gaya hu
Online Financial Fraud,Fraud CallVishing,I have not taken any loan but I am receiving such messages from few days with threats about pay or either we will ruin your name and we are filing case against you Also receiving threatning messages of Police case and they will call people in my contact list to report about the fraud
Any Other Cyber Crime,Other,"I have applied for loan in axial finance for   They have approved my loanbut they havenot depositedin my account Which the details  proofs was submitted to through portal Which they send me invoices except last  payments Which I have attached in the portal

They have collected  as processing fee Which I have attached in online legal india

My details
Sri rama prabhat chitturi
Agate  my home jewel
Madinaguda hyderabad
"
Online Financial Fraud,Internet Banking Related Fraud,"On  I received an SMS from  saying that my  VI SIM  documents are pending and Call customer care no  or SIM will be blocked within  hrs On Calling this customer care number the man said KYC has expired  have to renew immediately Then he asked to download  KYC Quick Support  APP from Playstore After opening the app I followed the process he told me at the end the app showed a UID He asked for this UID
He then asked to go to  vodafonerecharge cubeinvodafone  and recharge  Rs on my current number  as processing fee and I paid using IDBI Netbank Netbanking from mobile I paid Rs  two times but payment failed and amount was deducted from account He then asked me to go IDBI Net Banking Page and wait for a few minutes till I receive KYC documents Then I started receiving OTPs and amount deducted from account multiple times during the conversation only
He denied withdrawing any money and said the extra  Rs will be refunded in few minutes Throughout the call he asked to wait on the line many times on the same page in the app"
Any Other Cyber Crime,Other,MY MOBILE MISSING AT VAIGAI NAGAR STORE MK TRADERS MY MOBILE IMEI  IMEI  SAMSUNG AS SN RNBLRVZD WITH MY DRIVING LICENCE MISSING PLEASE FIND MY PHONE AND DRIVING LICENCE
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,I m ravi kumar i unauthrised payment in my credit card withour any OTP and calli contact to bank bank no response this unauthorised transactionand i give all poof in the bank also so no response bank
Online Financial Fraud,UPI Related Frauds," FRAUD THROUGH  UPI Fraud	PAYTM 

 BANK NAME 	Canara Bank including Syndicate Bank	   

 ACCOUNT NUMBER 	 
	 	
TOTAL AMOUNT    	 								 			

 PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
 COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
 "
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Facebook market place
victim seeen an add about scooty on facebook and called to the suspect suspect posed as an army officer and asked to pay money for transport charges emi and etc vicitm believed and paid money  to suspect but scooty not yet delivered
"
